"","grCat","grSum","spCat","genspDf$spCat"
"48","branching medium-thick",14,"Acropora (57.1%): Pocillopora (42.9%)","Acropora NA (46.7%): Pocillopora damicornis (40%): Acropora echinata (6.7%): NA NA (6.7%)"
"49","Wrong intercept:Wrong intercept",15,"Acropora (100%)","Acropora NA (60%): Acropora digitifera (13.3%): Acropora hyacinthus (13.3%): Acropora cytherea (6.7%): Acropora monticulosa (6.7%)"
"50","encrusting/submassive",10,"Porites (50%): Galaxea (20%): Montipora (20%): Psammocora (10%)","NA NA (28.6%): Porites NA (21.4%): Porites lichen (14.3%): Galaxea astreata (7.1%): Galaxea fascicularis (7.1%): Montipora informis (7.1%): Montipora turgescens (7.1%): Psammocora haimiana (7.1%)"
"51","sheet",13,"Galaxea (76.9%): Acropora (15.4%): Porites (7.7%)","Galaxea astreata (35.7%): Galaxea fascicularis (35.7%): Acropora NA (14.3%): NA NA (7.1%): Porites lichen (7.1%)"
"52","branching arborescent bush medium",10,"Acropora (90%): Pocillopora (10%)","Acropora NA (69.2%): NA NA (23.1%): Pocillopora verrucosa (7.7%)"
"53","bush",12,"Pocillopora (75%): Stylophora (16.7%): Seriatopora (8.3%)","Pocillopora damicornis (38.5%): Pocillopora verrucosa (23.1%): Stylophora pistillata (15.4%): NA NA (7.7%): Pocillopora NA (7.7%): Seriatopora hystrix (7.7%)"
"54","branching ",12,"Acropora (58.3%): Galaxea (25%): Dipsastraea (8.3%): Porites (8.3%)","Acropora NA (58.3%): Dipsastraea heliopora (8.3%): Galaxea astreata (8.3%): Galaxea fascicularis (8.3%): Galaxea NA (8.3%): Porites NA (8.3%)"
"55","digitate/plate",10,"Acropora (80%): Porites (20%)","Acropora digitifera (41.7%): Acropora NA (16.7%): NA NA (16.7%): Acropora hyacinthus (8.3%): Porites cylindrica (8.3%): Porites NA (8.3%)"
"56","digitate/vase",12,"Acropora (100%)","Acropora digitifera (58.3%): Acropora NA (25%): Acropora gemmifera (8.3%): Acropora selago (8.3%)"
"57","vase?",10,"Acropora (100%)","Acropora NA (66.7%): NA NA (16.7%): Acropora cytherea (8.3%): Acropora digitifera (8.3%)"
"58","branching bush small",11,"Acropora (100%)","Acropora NA (100%)"
"59","branching stout/column",11,"Isopora (100%)","Isopora palifera (100%)"
"60","branching bush open medium",10,"Pocillopora (90%): Stylophora (10%)","Pocillopora damicornis (90%): Stylophora pistillata (10%)"
"61","hyspidose",10,"Acropora (80%): Galaxea (20%)","Acropora NA (80%): Galaxea astreata (10%): Galaxea fascicularis (10%)"
